count,date,title,description,org_link,link
43,2024-02-14 19:00:00,"‘초격차 경쟁력 확보’…삼성전자, 경력직 대거 채용",<b>데이터</b> 분석 업무 경험자와 중앙 처리 장치(CPU) 관련 시스템·시스템 온 칩(SoC) 개발 경험자 등도 채용 대상이다. 중동·아프리카 지역 영업·마케팅을 위해 관련 경험 보유자는 우대한다. 모바일 경험(MX) 사업부는 <b>보안</b>... ,https://www.ekn.kr/web/view.php?key=20240214023047943,https://www.ekn.kr/web/view.php?key=20240214023047943
44,2024-02-14 18:48:00,"[새로운 먹거리 AI ②] 통신 3사, 新성장동력으로 AI 키운다","사이버 <b>보안</b> 투자 확대에 따라 영업이익이 감소했다고 평가했다. 하지만 통신 3사의 수익성에는... AI는 수많은 <b>데이터</b>를 활용해 성장하고, 이를 고객들과 연결하는 것이 중요하다. <b>데이터</b> 활용과 네트워크는... ",http://www.greenpostkorea.co.kr/news/articleView.html?idxno=215676,http://www.greenpostkorea.co.kr/news/articleView.html?idxno=215676
45,2024-02-14 18:40:00,"삼성전자, 기술 인력에 '올인'...경력 사원 대거 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발 경험자 등도 채용한다. 모바일경험(MX) 사업부는 <b>보안</b> 전략 수립 및 관련 솔루션 개발 직무를 수행할... ",http://www.fieldnews.kr/news/articleView.html?idxno=2499,http://www.fieldnews.kr/news/articleView.html?idxno=2499
46,2024-02-14 18:26:00,'인재 확보' 팔 걷은 삼성전자…DX·DS '역대급' 경력사원 채용,"삼성전자 TV와 관련한 국내 광고 마케팅, 광고 <b>데이터</b> 전략, 구독관리·유료서비스 PM, Al/ML <b>데이터</b> 분석 등 전문가를 뽑는다. MX사업부는 <b>보안</b>전략 수립 및 솔루션 개발, AP 공급업체와 저전력 설계에 나설 D램 엔지니어... ",http://www.newsworks.co.kr/news/articleView.html?idxno=743525,http://www.newsworks.co.kr/news/articleView.html?idxno=743525
47,2024-02-14 18:02:00,"오지스, 오르빗 브릿지 해킹 피해 복구안 공지…“이용자 피해 복구 최우선”","밸리<b>데이터</b> 키 탈취와는 무관한 것으로 밝혀졌다”고 설명했다. 오지스는 ‘탈취 자산 복구’를 ‘재원... 따른 <b>보안</b> 조치와 시스템 복구 완결, 복구 자산과 장기 협력 자산 재원을 최대한 확보한 뒤 브릿지 서비스를... ",https://www.etoday.co.kr/news/view/2330979,https://www.etoday.co.kr/news/view/2330979
48,2024-02-14 18:00:00,"아카마이, 클라우드 컴퓨팅을 엣지로 확장하는 ‘아카마이 Gecko’ 발표","더 넓은 범위의 컴퓨팅에 구축 및 배포된 애플리케이션과 <b>데이터</b>에 더 나은 가격 대비 성능, 더 낮은 지연 시간, 더 강력한 <b>보안</b>을 제공해야 한다는 업계의 요구가 증가함에 따라, 아카마이는 클라우드와 엣지의... ",http://www.boannews.com/media/view.asp?idx=126679&kind=,http://www.boannews.com/media/view.asp?idx=126679&kind=
49,2024-02-14 17:58:00,"더조인, 모바일 가상화 <b>보안</b> 솔루션 ‘J-VMP’ 국제 CC인증 획득",특히 J-VMP는 물리적으로 업무 <b>데이터</b>를 개인 모바일 기기와 100% 분리해 운영함으로써 단말의 <b>보안</b> 취약점을 원천 제거할 수 있다. 이에 개인 단말 성능에 영향을 주지 않고 개인 단말영역의 프라이버시를 보호할 수... ,http://www.boannews.com/media/view.asp?idx=126678&kind=,http://www.boannews.com/media/view.asp?idx=126678&kind=
50,2024-02-14 17:58:00,수출바우처 지원사업으로 정품인증 솔루션 히든태그 도입···가품 걱정 없는...,"특히 독자적인 디지털 암호화 패턴을 사용하여 위/변조 자체가 어려우며, 앱으로 패턴을 인식하여 해당 디지털 정보를 <b>데이터</b>베이스에 기록된 정보와 대조하여 정/가품 여부를 판별하는 다중 구조의 <b>보안</b> 프로세스로... ",http://www.enetnews.co.kr/news/articleView.html?idxno=20595,http://www.enetnews.co.kr/news/articleView.html?idxno=20595
51,2024-02-14 17:56:00,"삼성전자, 직군별 경력사원 대거 채용… 미래 기술인재 영입","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발 경험자 등도 채용한다. 모바일경험(MX) 사업부는 <b>보안</b> 전략 수립 및 관련 솔루션 개발 직무를 수행할... ",https://sateconomy.co.kr/news/view/1065601988598995,https://sateconomy.co.kr/news/view/1065601988598995
52,2024-02-14 17:55:00,"숏뜨, 동남아서 4억뷰 달성…로봇 자율주행 클로봇은 상장 '순항' [Geeks' Br...",SOC-2는 미국 CPA 협회 기준의 <b>보안</b>지침이다. 시스템이 고객의 <b>데이터</b>를 안전하게 유지하도록 설계됐을 경우에만 부여받을 수 있다. HIPPA는 개인 건강 정보와 전자 의료 기록이 안전하게 취급될 경우에 부여된다.... ,https://www.hankyung.com/article/202402143710i,https://n.news.naver.com/mnews/article/015/0004948334?sid=105
